,Date,SiteNumber,latitude,Longitude,Lab_Chla,#img,pix_Y,pix_X,Rrs_443,Rrs_492,Rrs_560,Rrs_665,Rrs_704,Rrs_740,Rrs_783,Rrs_833,Rrs_865,Rrs_1614,Rrs_2202
0,2017-05-18,1,50.586139,-105.384833,3.0334766848901826,4,342,491,-0.0008114242227748036,0.006912340875715017,0.02537819743156433,0.006342810578644276,0.0064321886748075485,0.0041270023211836815,0.003998854663223028,0.00441089179366827,0.0030479973647743464,0.00039716146420687437,0.00011120105045847595
1,2017-06-07,1,50.586139,-105.384833,3.0334766848901826,5,342,491,-0.0011691111139953136,0.00821154285222292,0.03211956098675728,0.009281802922487259,0.008689118549227715,0.005937605630606413,0.005988270044326782,0.005851311143487692,0.005276443902403116,0.0007617180235683918,2.319251962035196e-06
2,2017-07-04,1,50.586139,-105.384833,5.595528350578251,6,342,491,0.0030185836367309093,0.01120075024664402,0.033662013709545135,0.012231286615133286,0.01217779703438282,0.01138272974640131,0.011352797038853168,0.009116627275943756,0.009228263050317764,0.0012171224225312471,0.0
3,2017-07-04,3,50.5975,-105.40799999999999,7.29,6,322,464,0.0025913831777870655,0.010149985551834106,0.031744521111249924,0.011417741887271404,0.011325718834996223,0.011073478497564793,0.011016540229320526,0.008507536724209785,0.009273169562220573,0.0007034444715827703,0.00014698950690217316
4,2017-07-17,1,50.586139,-105.384833,20.093947535648933,7,342,491,0.04687664285302162,0.04926828667521477,0.06273902952671051,0.0381690114736557,0.04678359627723694,0.057760849595069885,0.05602750554680824,0.05170326307415962,0.04838966950774193,0.0016172658652067184,0.0
5,2017-07-17,3,50.5975,-105.40799999999999,34.412499999999994,7,322,464,0.047757573425769806,0.050353579223155975,0.06660885363817215,0.041566114872694016,0.052511632442474365,0.06153443828225136,0.05942018702626228,0.05484877526760101,0.05059824883937836,0.0015533380210399628,0.0
6,2017-07-19,1,50.586139,-105.384833,19.053354279206477,43,342,491,0.03339696303009987,0.03951413929462433,0.05366859212517738,0.03245925530791283,0.03941299021244049,0.05391666293144226,0.05718270316720009,0.05039910599589348,0.04816232621669769,0.0013634528731927276,1.1013044968422037e-05
7,2017-07-24,1,50.586139,-105.384833,27.391896049838206,8,342,491,0.003343869000673294,0.012199276126921177,0.03836388513445854,0.018657762557268143,0.024302326142787933,0.01347128115594387,0.012535751797258854,0.010189629159867764,0.01009083166718483,0.0015129861421883106,0.0
8,2017-07-24,2,50.585203,-105.385823,38.0,8,345,490,0.002167195314541459,0.011266468092799187,0.03755895048379898,0.018164921551942825,0.024438463151454926,0.013440721668303013,0.013019848614931107,0.010168218053877354,0.01081759948283434,0.001648326520808041,5.249347850622144e-06
9,2017-08-06,1,50.586139,-105.384833,85.7324639329689,9,342,491,0.010251633822917938,0.022776801139116287,0.06415238976478577,0.028086045756936073,0.06500697880983353,0.03281219303607941,0.03127440810203552,0.026340670883655548,0.019217435270547867,0.0007850694237276912,4.249040284776129e-05
